Time [s],Packet ID,MOSI,MISO
1.293191125000000,18,j (0x6A),'15' (0x0F)
1.293195750000000,18,'225' (0xE1),'15' (0x0F)
1.293200750000000,18,'241' (0xF1),'15' (0x0F)
1.293205500000000,18,z (0x7A),'15' (0x0F)
1.293210250000000,18,'127' (0x7F),'15' (0x0F)
1.293215000000000,18,f (0x66),'15' (0x0F)
1.293220000000000,18,'20' (0x14),'15' (0x0F)
1.293224625000000,18,'214' (0xD6),'15' (0x0F)
1.293229375000000,18,'242' (0xF2),'15' (0x0F)
1.293234125000000,18,'168' (0xA8),'15' (0x0F)
1.293247125000000,19,'181' (0xB5),'0' (0x00)
1.391699375000000,20,'182' (0xB6),'0' (0x00)
1.391712250000000,21,o (0x6F),'15' (0x0F)
1.391716500000000,21,'12' (0x0C),'0' (0x00)
1.391721750000000,21,l (0x6C),'15' (0x0F)
1.391735875000000,22,o (0x6F),'15' (0x0F)
1.391740125000000,22,\r (0x0D),'0' (0x00)
1.391745375000000,22,z (0x7A),'15' (0x0F)
1.391759625000000,23,o (0x6F),'15' (0x0F)
1.391763875000000,23,'27' (0x1B),'0' (0x00)
1.391784250000000,24,'186' (0xBA),'0' (0x00)
1.391796125000000,25,'180' (0xB4),'0' (0x00)
1.493222125000000,26,'239' (0xEF),'16' (0x10)
1.493226375000000,26,q (0x71),'0' (0x00)
1.493231250000000,26,'0' (0x00),'245' (0xF5)
1.493244750000000,27,'239' (0xEF),'16' (0x10)
1.493249000000000,27,r (0x72),'0' (0x00)
1.493254250000000,27,'0' (0x00),C (0x43)
1.791255375000000,28,'182' (0xB6),'16' (0x10)
1.791268625000000,29,o (0x6F),'15' (0x0F)
1.791272750000000,29,'12' (0x0C),'0' (0x00)
1.791278000000000,29,l (0x6C),'15' (0x0F)
1.791300625000000,30,o (0x6F),'15' (0x0F)
1.791304875000000,30,\r (0x0D),'0' (0x00)
1.791310125000000,30,Z (0x5A),'15' (0x0F)
1.791324375000000,31,o (0x6F),'15' (0x0F)
1.791328625000000,31,; (0x3B),'0' (0x00)
1.791350750000000,32,'186' (0xBA),'0' (0x00)
1.791362375000000,33,'187' (0xBB),'0' (0x00)
1.791375125000000,34,'127' (0x7F),'15' (0x0F)
1.791380625000000,34,/ (0x2F),'15' (0x0F)
1.791385375000000,34,'0' (0x00),'12' (0x0C)
1.791390500000000,34,'1' (0x01),< (0x3C)
1.791395250000000,34,'176' (0xB0),< (0x3C)
1.791400250000000,34,'136' (0x88),< (0x3C)
1.791405000000000,34,'135' (0x87),< (0x3C)
1.791409750000000,34,'128' (0x80),< (0x3C)
1.791414500000000,34,l (0x6C),< (0x3C)
1.791419375000000,34,'1' (0x01),< (0x3C)
1.791424125000000,34,'171' (0xAB),< (0x3C)
1.791428875000000,34,'215' (0xD7),< (0x3C)
1.791433625000000,34,O (0x4F),< (0x3C)
1.791438625000000,34,k (0x6B),< (0x3C)
1.791443375000000,34,'150' (0x96),< (0x3C)
1.791448000000000,34,'210' (0xD2),< (0x3C)
1.791452750000000,34,'195' (0xC3),< (0x3C)
1.791457750000000,34,'237' (0xED),< (0x3C)
1.791462500000000,34,'172' (0xAC),< (0x3C)
1.791467250000000,34,` (0x60),< (0x3C)
1.791472000000000,34,'23' (0x17),< (0x3C)
1.791476875000000,34,S (0x53),< (0x3C)
1.791481625000000,34,'202' (0xCA),< (0x3C)
1.791486375000000,34,> (0x3E),< (0x3C)
1.791491125000000,34,'6' (0x06),< (0x3C)
1.791496125000000,34,@ (0x40),< (0x3C)
1.791500875000000,34,: (0x3A),< (0x3C)
1.791505500000000,34,'236' (0xEC),< (0x3C)
1.791510250000000,34,5 (0x35),< (0x3C)
1.791515250000000,34,'2' (0x02),< (0x3C)
1.791520000000000,34,* (0x2A),< (0x3C)
1.791524750000000,34,m (0x6D),< (0x3C)
1.791529500000000,34,9 (0x39),< (0x3C)
1.791534375000000,34,! (0x21),< (0x3C)
1.791539125000000,34,\ (0x5C),< (0x3C)
1.791543875000000,34,'162' (0xA2),< (0x3C)
1.791548625000000,34,q (0x71),< (0x3C)
1.791553625000000,34,i (0x69),< (0x3C)
1.791558375000000,34,) (0x29),< (0x3C)
1.791563500000000,34,'174' (0xAE),'240' (0xF0)
1.791568250000000,34,'31' (0x1F),'240' (0xF0)
1.791573250000000,34,'23' (0x17),'240' (0xF0)
1.791578000000000,34,'167' (0xA7),'240' (0xF0)
1.791582750000000,34,'246' (0xF6),'240' (0xF0)
1.791587500000000,34,a (0x61),'240' (0xF0)
1.791592625000000,34,'154' (0x9A),'225' (0xE1)
1.791597375000000,34,'222' (0xDE),'225' (0xE1)
1.791602125000000,34,U (0x55),'225' (0xE1)
1.791618625000000,35,'181' (0xB5),'0' (0x00)
1.890083750000000,36,o (0x6F),'15' (0x0F)
1.890088000000000,36,'12' (0x0C),'0' (0x00)
1.890093250000000,36,l (0x6C),'15' (0x0F)
1.890107375000000,37,o (0x6F),'15' (0x0F)
1.890111625000000,37,\r (0x0D),'0' (0x00)
1.890117125000000,37,z (0x7A),'15' (0x0F)
1.890131000000000,38,o (0x6F),'15' (0x0F)
1.890135250000000,38,'14' (0x0E),'0' (0x00)
1.890140750000000,38,'225' (0xE1),'15' (0x0F)
1.890156000000000,39,'186' (0xBA),'0' (0x00)
1.890167625000000,40,'180' (0xB4),'0' (0x00)
1.994494500000000,41,'239' (0xEF),'16' (0x10)
1.994498750000000,41,q (0x71),'0' (0x00)
1.994503875000000,41,'0' (0x00),'248' (0xF8)
1.994517375000000,42,'239' (0xEF),'16' (0x10)
1.994521625000000,42,r (0x72),'0' (0x00)
1.994526625000000,42,'0' (0x00),G (0x47)
2.289624125000000,43,'182' (0xB6),'16' (0x10)
2.289637125000000,44,o (0x6F),'15' (0x0F)
2.289641375000000,44,'12' (0x0C),'0' (0x00)
2.289646875000000,44,l (0x6C),'15' (0x0F)
2.289660750000000,45,o (0x6F),'15' (0x0F)
2.289665000000000,45,\r (0x0D),'0' (0x00)
2.289670500000000,45,Z (0x5A),'15' (0x0F)
2.289684375000000,46,o (0x6F),'15' (0x0F)
2.289688875000000,46,'14' (0x0E),'0' (0x00)
2.289694125000000,46,'225' (0xE1),'15' (0x0F)
2.289710750000000,47,'186' (0xBA),'0' (0x00)
2.289722750000000,48,'187' (0xBB),'0' (0x00)
2.289735500000000,49,~ (0x7E),'30' (0x1E)
2.289740875000000,49,^ (0x5E),'30' (0x1E)
2.289745625000000,49,'2' (0x02),'30' (0x1E)
2.289750375000000,49,'0' (0x00),'30' (0x1E)
2.289755375000000,49,'216' (0xD8),'30' (0x1E)
2.289760125000000,49,D (0x44),'30' (0x1E)
2.289764750000000,49,C (0x43),'30' (0x1E)
2.289769500000000,49,'192' (0xC0),'30' (0x1E)
2.289774500000000,49,6 (0x36),'30' (0x1E)
2.289779250000000,49,'0' (0x00),'30' (0x1E)
2.289784000000000,49,'213' (0xD5),'30' (0x1E)
2.289788750000000,49,'235' (0xEB),'30' (0x1E)
2.289793625000000,49,'167' (0xA7),'30' (0x1E)
2.289798375000000,49,'181' (0xB5),'30' (0x1E)
2.289803125000000,49,'203' (0xCB),'30' (0x1E)
2.289807875000000,49,i (0x69),'30' (0x1E)
2.289812875000000,49,a (0x61),'30' (0x1E)
2.289817625000000,49,'246' (0xF6),'30' (0x1E)
2.289822250000000,49,'214' (0xD6),'30' (0x1E)
2.289827000000000,49,0 (0x30),'30' (0x1E)
2.289832000000000,49,'11' (0x0B),'30' (0x1E)
